repo_name,category_x,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status,total_satd,todo_count,fixme_count,hack_count,bug_count,design_debt,test_debt,requirement_debt,defect_debt,category_y,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc,avg_resolution_days,total_issues,debt_label
Dao-AILab/flash-attention,Deep Learning,23906.0,2756.0,1189.0,20896.0,Python,1467.0,2022-05-19,2026-05-25,Fast and memory-efficient exact attention,True,True,False,BSD-3-Clause,ok,47.0,18.0,0.0,4.0,23.0,6.0,0.0,18.0,23.0,Deep Learning,6.39,49.83,1764.0,2215.0,312.0,104742.0,3.1,100,Medium
PaddlePaddle/PaddleDetection,Computer Vision,14218.0,3020.0,940.0,432844.0,Python,2404.0,2019-10-25,2026-05-25,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object tracking and real-time multi-person keypoint detection.",True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.86,58.12,4412.0,5641.0,309.0,146585.0,41.65,100,Medium
facebookresearch/flores,NLP,768.0,135.0,22.0,11185.0,Python,2670.0,2019-02-01,2026-05-08,Facebook Low Resource (FLoRes) MT Benchmark,False,True,False,NOASSERTION,ok,4.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,NLP,3.65,62.76,249.0,102.0,7.0,2512.0,80.0,45,Medium
PaddlePaddle/PaddleSeg,Computer Vision,9332.0,1708.0,27.0,359111.0,Python,2464.0,2019-08-26,2026-05-25,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in Semantic Segmentation, Interactive Segmentation, Panoptic Segmentation, Image Mat",True,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.4,68.98,4253.0,6467.0,262.0,153499.0,35.9,100,Medium
huggingface/setfit,Deep Learning,2740.0,262.0,160.0,1920263.0,Jupyter Notebook,1425.0,2022-06-30,2026-05-24,Efficient few-shot learning with Sentence Transformers,False,True,False,Apache-2.0,ok,26.0,1.0,0.0,0.0,0.0,12.0,13.0,1.0,0.0,Deep Learning,3.28,66.09,621.0,674.0,26.0,15917.0,26.45,100,Medium
google-research/t5x,NLP,2965.0,341.0,182.0,9757.0,Python,1666.0,2021-11-01,2026-05-23,,False,True,False,Apache-2.0,ok,70.0,56.0,0.0,1.0,1.0,13.0,0.0,56.0,1.0,NLP,2.47,74.36,7216.0,1479.0,31.0,45459.0,9.5,100,Medium
mosaicml/composer,Deep Learning,5483.0,463.0,62.0,22978.0,Python,1686.0,2021-10-12,2026-05-23,Supercharge Your Model Training,False,True,False,Apache-2.0,ok,10.0,3.0,0.0,0.0,0.0,5.0,2.0,3.0,0.0,Deep Learning,3.6,68.57,993.0,3367.0,176.0,84993.0,6.58,100,Low
PaddlePaddle/PaddleOCR,Computer Vision,78512.0,10483.0,210.0,1905638.0,Python,2208.0,2020-05-08,2026-05-25,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages.",False,True,False,Apache-2.0,ok,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Computer Vision,3.51,67.03,2157.0,4936.0,217.0,110299.0,12.61,100,Medium
openai/glide-text2im,Deep Learning,3690.0,501.0,28.0,2042.0,Python,1627.0,2021-12-10,2026-05-21,GLIDE: a diffusion-based text-conditional image synthesis model,True,True,False,MIT,ok,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,Deep Learning,3.08,63.59,16.0,200.0,7.0,3387.0,81.08333333333333,24,Low
triton-lang/triton,Deep Learning,19275.0,2875.0,1081.0,697413.0,MLIR,4286.0,2014-08-30,2026-05-25,Development repository for the Triton language and compiler,True,True,False,MIT,ok,54.0,10.0,4.0,1.0,3.0,15.0,22.0,10.0,7.0,Deep Learning,3.1,55.1,1805.0,6531.0,270.0,142781.0,1.47,100,Medium
