repo_name,category,file_type,file_name,sdlc_phase,line_number,line_content
Dao-AILab/flash-attention,Deep Learning,documentation,README.md,P7_Documentation,152,"The Triton implementation of [Flash Attention](https://tridao.me/publications/flash2/flash2.pdf) supports AMD's CDNA (MI200, MI300) and RDNA GPUs using fp16, bf16, and fp32 datatypes. It provides forw"
Dao-AILab/flash-attention,Deep Learning,documentation,usage.md,P7_Documentation,15,coming soon.
mosaicml/composer,Deep Learning,documentation,README.md,P7_Documentation,118,**********************************************Hardware requirements:**********************************************  System with CUDA-compatible GPUs (AMD + RoCM coming soon!). Composer can run on CPUs
mosaicml/composer,Deep Learning,dependency,pyproject.toml,P4_Build_Packaging,1013,"# Deprecated modules which should not be used, separated by a comma."
mosaicml/composer,Deep Learning,dependency,setup.py,P4_Build_Packaging,101,# Pinning versions strictly to avoid random test failures.
huggingface/transformers,NLP,documentation,CONTRIBUTING.md,P7_Documentation,473,☐ To indicate a work in progress please prefix the title with `[WIP]`. These are
allenai/open-instruct,NLP,dependency,pyproject.toml,P4_Build_Packaging,38,# Pin the Linux x86_64 wheel directly so uv doesn't resolve to an aarch64-only version.
opencv/opencv-python,Computer Vision,cicd,travis_osx_brew_cache.sh,P5_CICD_Deployment,7,"#FIXME: temporary fix to enable the build, should be replaced with the proper path to the cache dir"
kornia/kornia,Computer Vision,documentation,CHANGELOG.md,P7_Documentation,42,* torch_version_geq -> torch_version_ge according to todo by @ducha-aiki in https://github.com/kornia/kornia/pull/2157
coqui-ai/TTS,Deep Learning,cicd,run_bash_tests.sh,P5_CICD_Deployment,5,# TODO: move these to python
scikit-image/scikit-image,Computer Vision,documentation,CONTRIBUTING.rst,P7_Documentation,145,"If your change introduces a deprecation, add a reminder to ``TODO.txt``"
scikit-image/scikit-image,Computer Vision,documentation,CONTRIBUTING.rst,P7_Documentation,851,"- In ``TODO.txt``, create an item in the section related to version"
scikit-image/scikit-image,Computer Vision,dependency,pyproject.toml,P4_Build_Packaging,254,"# deprecated, to be removed before v0.27"
haotian-liu/LLaVA,Deep Learning,documentation,README.md,P7_Documentation,26,"- [1/30] 🔥 **LLaVA-NeXT** (LLaVA-1.6) is out! With additional scaling to LLaVA-1.5, LLaVA-NeXT-34B outperforms Gemini Pro on some benchmarks. It can now process 4x more pixels and perform more tasks/a"
google-deepmind/alphageometry,Deep Learning,dependency,requirements.txt,P4_Build_Packaging,2067,# pinned when the requirements file includes hashes. Consider using the --allow-unsafe flag.
Zulko/moviepy,Computer Vision,documentation,CONTRIBUTING.md,P7_Documentation,48,You do not have to have finished your feature or bug fix before submitting a PR; just mention that it still is a work in progress.
