repo_name,category,month,commit_count
keras-team/keras,Deep Learning,2026-01,62
keras-team/keras,Deep Learning,2026-02,114
keras-team/keras,Deep Learning,2026-03,170
keras-team/keras,Deep Learning,2026-04,128
keras-team/keras,Deep Learning,2026-05,26
fastai/fastai,Deep Learning,2022-07,61
fastai/fastai,Deep Learning,2022-08,33
fastai/fastai,Deep Learning,2022-09,40
fastai/fastai,Deep Learning,2022-10,28
fastai/fastai,Deep Learning,2022-11,13
fastai/fastai,Deep Learning,2022-12,15
fastai/fastai,Deep Learning,2023-01,8
fastai/fastai,Deep Learning,2023-02,25
fastai/fastai,Deep Learning,2023-03,18
fastai/fastai,Deep Learning,2023-05,9
fastai/fastai,Deep Learning,2023-07,7
fastai/fastai,Deep Learning,2023-08,19
fastai/fastai,Deep Learning,2023-09,12
fastai/fastai,Deep Learning,2023-10,25
fastai/fastai,Deep Learning,2023-11,6
fastai/fastai,Deep Learning,2023-12,5
fastai/fastai,Deep Learning,2024-01,4
fastai/fastai,Deep Learning,2024-02,4
fastai/fastai,Deep Learning,2024-03,6
fastai/fastai,Deep Learning,2024-04,11
fastai/fastai,Deep Learning,2024-05,3
fastai/fastai,Deep Learning,2024-06,7
fastai/fastai,Deep Learning,2024-07,7
fastai/fastai,Deep Learning,2024-08,4
fastai/fastai,Deep Learning,2024-09,3
fastai/fastai,Deep Learning,2024-10,8
fastai/fastai,Deep Learning,2024-11,1
fastai/fastai,Deep Learning,2024-12,3
fastai/fastai,Deep Learning,2025-01,7
fastai/fastai,Deep Learning,2025-02,3
fastai/fastai,Deep Learning,2025-03,27
fastai/fastai,Deep Learning,2025-04,9
fastai/fastai,Deep Learning,2025-05,4
fastai/fastai,Deep Learning,2025-06,6
fastai/fastai,Deep Learning,2025-07,1
fastai/fastai,Deep Learning,2025-08,21
fastai/fastai,Deep Learning,2025-09,2
fastai/fastai,Deep Learning,2025-10,4
fastai/fastai,Deep Learning,2025-11,2
fastai/fastai,Deep Learning,2025-12,7
fastai/fastai,Deep Learning,2026-01,8
fastai/fastai,Deep Learning,2026-02,10
fastai/fastai,Deep Learning,2026-04,4
