repo_name,category,month,commit_count
Dao-AILab/flash-attention,Deep Learning,2026-05,20
Dao-AILab/flash-attention,Deep Learning,2026-04,40
Dao-AILab/flash-attention,Deep Learning,2026-03,122
Dao-AILab/flash-attention,Deep Learning,2026-02,18
PaddlePaddle/PaddleDetection,Computer Vision,2026-03,2
PaddlePaddle/PaddleDetection,Computer Vision,2026-02,1
PaddlePaddle/PaddleDetection,Computer Vision,2025-09,1
PaddlePaddle/PaddleDetection,Computer Vision,2025-06,4
PaddlePaddle/PaddleDetection,Computer Vision,2025-05,3
PaddlePaddle/PaddleDetection,Computer Vision,2025-04,3
PaddlePaddle/PaddleDetection,Computer Vision,2025-03,6
PaddlePaddle/PaddleDetection,Computer Vision,2025-02,3
PaddlePaddle/PaddleDetection,Computer Vision,2025-01,9
PaddlePaddle/PaddleDetection,Computer Vision,2024-12,8
PaddlePaddle/PaddleDetection,Computer Vision,2024-11,5
PaddlePaddle/PaddleDetection,Computer Vision,2024-10,7
PaddlePaddle/PaddleDetection,Computer Vision,2024-09,10
PaddlePaddle/PaddleDetection,Computer Vision,2024-08,8
PaddlePaddle/PaddleDetection,Computer Vision,2024-07,10
PaddlePaddle/PaddleDetection,Computer Vision,2024-06,3
PaddlePaddle/PaddleDetection,Computer Vision,2024-05,8
PaddlePaddle/PaddleDetection,Computer Vision,2024-04,4
PaddlePaddle/PaddleDetection,Computer Vision,2024-03,10
PaddlePaddle/PaddleDetection,Computer Vision,2024-01,1
PaddlePaddle/PaddleDetection,Computer Vision,2023-12,3
PaddlePaddle/PaddleDetection,Computer Vision,2023-11,5
PaddlePaddle/PaddleDetection,Computer Vision,2023-10,4
PaddlePaddle/PaddleDetection,Computer Vision,2023-09,3
PaddlePaddle/PaddleDetection,Computer Vision,2023-08,7
PaddlePaddle/PaddleDetection,Computer Vision,2023-07,14
PaddlePaddle/PaddleDetection,Computer Vision,2023-06,17
PaddlePaddle/PaddleDetection,Computer Vision,2023-05,20
PaddlePaddle/PaddleDetection,Computer Vision,2023-04,15
PaddlePaddle/PaddleDetection,Computer Vision,2023-03,6
facebookresearch/flores,NLP,2023-11,2
facebookresearch/flores,NLP,2022-12,2
facebookresearch/flores,NLP,2022-07,4
facebookresearch/flores,NLP,2022-05,13
facebookresearch/flores,NLP,2022-02,2
facebookresearch/flores,NLP,2021-11,2
facebookresearch/flores,NLP,2021-06,11
facebookresearch/flores,NLP,2021-05,6
facebookresearch/flores,NLP,2020-04,3
facebookresearch/flores,NLP,2020-02,1
facebookresearch/flores,NLP,2019-11,3
facebookresearch/flores,NLP,2019-10,8
facebookresearch/flores,NLP,2019-09,1
facebookresearch/flores,NLP,2019-08,1
facebookresearch/flores,NLP,2019-05,3
facebookresearch/flores,NLP,2019-04,2
facebookresearch/flores,NLP,2019-03,3
facebookresearch/flores,NLP,2019-02,15
PaddlePaddle/PaddleSeg,Computer Vision,2025-11,1
PaddlePaddle/PaddleSeg,Computer Vision,2025-10,1
PaddlePaddle/PaddleSeg,Computer Vision,2024-12,3
PaddlePaddle/PaddleSeg,Computer Vision,2024-11,5
PaddlePaddle/PaddleSeg,Computer Vision,2024-10,5
PaddlePaddle/PaddleSeg,Computer Vision,2024-09,9
PaddlePaddle/PaddleSeg,Computer Vision,2024-08,3
PaddlePaddle/PaddleSeg,Computer Vision,2024-07,3
PaddlePaddle/PaddleSeg,Computer Vision,2024-05,7
PaddlePaddle/PaddleSeg,Computer Vision,2024-04,3
PaddlePaddle/PaddleSeg,Computer Vision,2024-03,6
PaddlePaddle/PaddleSeg,Computer Vision,2024-01,1
PaddlePaddle/PaddleSeg,Computer Vision,2023-12,2
PaddlePaddle/PaddleSeg,Computer Vision,2023-11,12
PaddlePaddle/PaddleSeg,Computer Vision,2023-10,6
PaddlePaddle/PaddleSeg,Computer Vision,2023-09,3
PaddlePaddle/PaddleSeg,Computer Vision,2023-08,11
PaddlePaddle/PaddleSeg,Computer Vision,2023-07,11
PaddlePaddle/PaddleSeg,Computer Vision,2023-06,12
PaddlePaddle/PaddleSeg,Computer Vision,2023-05,8
PaddlePaddle/PaddleSeg,Computer Vision,2023-04,27
PaddlePaddle/PaddleSeg,Computer Vision,2023-03,40
PaddlePaddle/PaddleSeg,Computer Vision,2023-02,21
huggingface/setfit,Deep Learning,2026-04,2
huggingface/setfit,Deep Learning,2025-12,3
huggingface/setfit,Deep Learning,2025-08,2
huggingface/setfit,Deep Learning,2025-04,6
huggingface/setfit,Deep Learning,2025-01,6
huggingface/setfit,Deep Learning,2024-09,15
huggingface/setfit,Deep Learning,2024-04,2
huggingface/setfit,Deep Learning,2024-03,8
huggingface/setfit,Deep Learning,2024-02,3
huggingface/setfit,Deep Learning,2024-01,21
huggingface/setfit,Deep Learning,2023-12,58
huggingface/setfit,Deep Learning,2023-11,74
google-research/t5x,NLP,2026-04,2
google-research/t5x,NLP,2026-03,1
google-research/t5x,NLP,2026-01,1
google-research/t5x,NLP,2025-11,2
google-research/t5x,NLP,2025-10,1
google-research/t5x,NLP,2025-09,4
google-research/t5x,NLP,2025-06,3
google-research/t5x,NLP,2025-05,2
google-research/t5x,NLP,2025-04,3
google-research/t5x,NLP,2025-03,1
google-research/t5x,NLP,2025-01,2
google-research/t5x,NLP,2024-12,2
google-research/t5x,NLP,2024-11,1
google-research/t5x,NLP,2024-10,4
google-research/t5x,NLP,2024-09,3
google-research/t5x,NLP,2024-08,3
google-research/t5x,NLP,2024-07,8
google-research/t5x,NLP,2024-06,4
google-research/t5x,NLP,2024-05,12
google-research/t5x,NLP,2024-04,7
google-research/t5x,NLP,2024-03,10
google-research/t5x,NLP,2024-02,8
google-research/t5x,NLP,2024-01,10
google-research/t5x,NLP,2023-12,14
google-research/t5x,NLP,2023-11,10
google-research/t5x,NLP,2023-10,15
google-research/t5x,NLP,2023-09,9
google-research/t5x,NLP,2023-08,24
google-research/t5x,NLP,2023-07,20
google-research/t5x,NLP,2023-06,14
mosaicml/composer,Deep Learning,2026-04,1
mosaicml/composer,Deep Learning,2026-03,1
mosaicml/composer,Deep Learning,2025-07,11
mosaicml/composer,Deep Learning,2025-06,22
mosaicml/composer,Deep Learning,2025-05,21
mosaicml/composer,Deep Learning,2025-04,26
mosaicml/composer,Deep Learning,2025-03,17
mosaicml/composer,Deep Learning,2025-02,5
mosaicml/composer,Deep Learning,2025-01,5
mosaicml/composer,Deep Learning,2024-12,7
mosaicml/composer,Deep Learning,2024-11,20
mosaicml/composer,Deep Learning,2024-10,31
mosaicml/composer,Deep Learning,2024-09,28
mosaicml/composer,Deep Learning,2024-08,5
PaddlePaddle/PaddleOCR,Computer Vision,2026-05,10
PaddlePaddle/PaddleOCR,Computer Vision,2026-04,15
PaddlePaddle/PaddleOCR,Computer Vision,2026-03,26
PaddlePaddle/PaddleOCR,Computer Vision,2026-02,25
PaddlePaddle/PaddleOCR,Computer Vision,2026-01,21
PaddlePaddle/PaddleOCR,Computer Vision,2025-12,9
PaddlePaddle/PaddleOCR,Computer Vision,2025-11,28
PaddlePaddle/PaddleOCR,Computer Vision,2025-10,28
PaddlePaddle/PaddleOCR,Computer Vision,2025-09,13
PaddlePaddle/PaddleOCR,Computer Vision,2025-08,25
openai/glide-text2im,Deep Learning,2022-03,2
openai/glide-text2im,Deep Learning,2022-02,1
openai/glide-text2im,Deep Learning,2022-01,1
openai/glide-text2im,Deep Learning,2021-12,9
triton-lang/triton,Deep Learning,2026-05,121
triton-lang/triton,Deep Learning,2026-04,79
WongKinYiu/yolov7,Computer Vision,2023-11,2
WongKinYiu/yolov7,Computer Vision,2023-05,4
WongKinYiu/yolov7,Computer Vision,2023-03,1
WongKinYiu/yolov7,Computer Vision,2023-01,1
WongKinYiu/yolov7,Computer Vision,2022-12,5
WongKinYiu/yolov7,Computer Vision,2022-10,2
WongKinYiu/yolov7,Computer Vision,2022-09,6
WongKinYiu/yolov7,Computer Vision,2022-08,28
WongKinYiu/yolov7,Computer Vision,2022-07,85
huggingface/transformers,NLP,2026-05,164
huggingface/transformers,NLP,2026-04,36
google-deepmind/graphcast,Deep Learning,2026-03,3
google-deepmind/graphcast,Deep Learning,2026-02,1
google-deepmind/graphcast,Deep Learning,2026-01,4
google-deepmind/graphcast,Deep Learning,2025-12,1
google-deepmind/graphcast,Deep Learning,2025-11,1
google-deepmind/graphcast,Deep Learning,2025-09,1
google-deepmind/graphcast,Deep Learning,2025-07,1
google-deepmind/graphcast,Deep Learning,2025-06,5
google-deepmind/graphcast,Deep Learning,2025-05,1
google-deepmind/graphcast,Deep Learning,2025-04,1
google-deepmind/graphcast,Deep Learning,2025-03,2
google-deepmind/graphcast,Deep Learning,2025-02,2
google-deepmind/graphcast,Deep Learning,2025-01,3
google-deepmind/graphcast,Deep Learning,2024-12,8
google-deepmind/graphcast,Deep Learning,2024-10,1
google-deepmind/graphcast,Deep Learning,2024-08,1
google-deepmind/graphcast,Deep Learning,2024-01,3
google-deepmind/graphcast,Deep Learning,2023-11,3
google-deepmind/graphcast,Deep Learning,2023-12,2
google-deepmind/graphcast,Deep Learning,2023-10,1
google-deepmind/graphcast,Deep Learning,2023-09,5
google-deepmind/graphcast,Deep Learning,2023-07,1
allenai/open-instruct,NLP,2026-05,30
allenai/open-instruct,NLP,2026-04,53
allenai/open-instruct,NLP,2026-03,59
allenai/open-instruct,NLP,2026-02,36
allenai/open-instruct,NLP,2026-01,22
huggingface/optimum,Deep Learning,2026-05,2
huggingface/optimum,Deep Learning,2026-04,4
huggingface/optimum,Deep Learning,2026-03,3
huggingface/optimum,Deep Learning,2026-01,1
huggingface/optimum,Deep Learning,2025-12,4
huggingface/optimum,Deep Learning,2025-11,1
huggingface/optimum,Deep Learning,2025-10,11
huggingface/optimum,Deep Learning,2025-09,5
huggingface/optimum,Deep Learning,2025-08,5
huggingface/optimum,Deep Learning,2025-07,5
