repo_name,category,issue_number,created_at,closed_at,resolution_days,labels
keras-team/keras,Deep Learning,22845,2026-05-06,2026-05-06,0,size:XS
keras-team/keras,Deep Learning,22843,2026-05-05,2026-05-05,0,size:XS
keras-team/keras,Deep Learning,22842,2026-05-05,2026-05-05,0,size:XS
keras-team/keras,Deep Learning,22841,2026-05-05,2026-05-05,0,"kokoro:force-run,ready to pull,size:XS"
keras-team/keras,Deep Learning,22840,2026-05-05,2026-05-05,0,"kokoro:force-run,ready to pull,size:XS"
keras-team/keras,Deep Learning,22839,2026-05-05,2026-05-06,0,"kokoro:force-run,ready to pull,size:S"
keras-team/keras,Deep Learning,22838,2026-05-05,2026-05-06,0,size:XS
keras-team/keras,Deep Learning,22837,2026-05-05,2026-05-05,0,size:XS
keras-team/keras,Deep Learning,22833,2026-05-05,2026-05-05,0,size:XS
keras-team/keras,Deep Learning,22832,2026-05-05,2026-05-06,0,"ready to pull,size:XS"
keras-team/keras,Deep Learning,22831,2026-05-05,2026-05-05,0,size:S
keras-team/keras,Deep Learning,22829,2026-05-05,2026-05-06,0,"kokoro:force-run,size:M"
keras-team/keras,Deep Learning,22827,2026-05-04,2026-05-06,1,size:M
keras-team/keras,Deep Learning,22826,2026-05-04,2026-05-04,0,size:XS
keras-team/keras,Deep Learning,22824,2026-05-04,2026-05-04,0,size:S
keras-team/keras,Deep Learning,22823,2026-05-04,2026-05-06,1,type:Bug
keras-team/keras,Deep Learning,22821,2026-05-03,2026-05-06,2,"kokoro:force-run,ready to pull,size:M"
keras-team/keras,Deep Learning,22818,2026-05-02,2026-05-02,0,
keras-team/keras,Deep Learning,22817,2026-05-02,2026-05-05,2,"ready to pull,size:M"
keras-team/keras,Deep Learning,22816,2026-05-02,2026-05-04,2,"ready to pull,size:M"
keras-team/keras,Deep Learning,22815,2026-05-02,2026-05-05,3,type:Bug
keras-team/keras,Deep Learning,22814,2026-05-01,2026-05-05,3,"ready to pull,size:M"
keras-team/keras,Deep Learning,22813,2026-05-01,2026-05-01,0,size:S
keras-team/keras,Deep Learning,22811,2026-05-01,2026-05-01,0,"kokoro:force-run,ready to pull,size:XS,dependencies,python"
keras-team/keras,Deep Learning,22810,2026-05-01,2026-05-01,0,"kokoro:force-run,ready to pull,size:S,dependencies,github_actions"
keras-team/keras,Deep Learning,22808,2026-04-30,2026-05-04,4,"kokoro:force-run,ready to pull,size:S"
keras-team/keras,Deep Learning,22807,2026-04-30,2026-04-30,0,size:XL
keras-team/keras,Deep Learning,22806,2026-04-30,2026-05-01,1,size:XS
keras-team/keras,Deep Learning,22805,2026-04-30,2026-05-01,1,type:Bug
keras-team/keras,Deep Learning,22804,2026-04-30,2026-05-01,1,"ready to pull,size:XS"
keras-team/keras,Deep Learning,22803,2026-04-30,2026-04-30,0,size:M
keras-team/keras,Deep Learning,22801,2026-04-30,2026-04-30,0,"kokoro:force-run,size:M"
keras-team/keras,Deep Learning,22800,2026-04-29,2026-04-29,0,"kokoro:force-run,ready to pull,size:M"
keras-team/keras,Deep Learning,22799,2026-04-29,2026-04-30,1,size:M
keras-team/keras,Deep Learning,22798,2026-04-29,2026-04-29,0,size:M
keras-team/keras,Deep Learning,22797,2026-04-29,2026-04-30,0,size:L
keras-team/keras,Deep Learning,22795,2026-04-29,2026-04-29,0,"kokoro:force-run,ready to pull,size:S"
keras-team/keras,Deep Learning,22794,2026-04-28,2026-04-28,0,size:S
keras-team/keras,Deep Learning,22793,2026-04-28,2026-04-29,0,"ready to pull,size:M"
keras-team/keras,Deep Learning,22792,2026-04-28,2026-04-28,0,size:XS
keras-team/keras,Deep Learning,22791,2026-04-28,2026-05-05,6,"kokoro:force-run,ready to pull,size:L"
keras-team/keras,Deep Learning,22790,2026-04-28,2026-04-29,0,size:S
keras-team/keras,Deep Learning,22789,2026-04-28,2026-04-30,1,"kokoro:force-run,ready to pull,size:M"
keras-team/keras,Deep Learning,22788,2026-04-28,2026-04-28,0,"kokoro:force-run,ready to pull,size:XS"
keras-team/keras,Deep Learning,22786,2026-04-28,2026-04-28,0,"kokoro:force-run,ready to pull,size:S"
keras-team/keras,Deep Learning,22785,2026-04-28,2026-04-28,0,"kokoro:force-run,size:M"
keras-team/keras,Deep Learning,22784,2026-04-28,2026-04-28,0,"kokoro:force-run,ready to pull,size:S"
keras-team/keras,Deep Learning,22783,2026-04-28,2026-04-28,0,"kokoro:force-run,ready to pull,size:S"
keras-team/keras,Deep Learning,22782,2026-04-28,2026-04-28,0,"kokoro:force-run,ready to pull,size:S"
keras-team/keras,Deep Learning,22781,2026-04-28,2026-05-06,8,"stat:awaiting response from contributor,kokoro:force-run,ready to pull,size:XS"
keras-team/keras,Deep Learning,22777,2026-04-26,2026-04-28,1,"kokoro:force-run,ready to pull,size:M"
keras-team/keras,Deep Learning,22776,2026-04-25,2026-05-04,9,"keras-team-review-pending,type:Bug"
keras-team/keras,Deep Learning,22775,2026-04-24,2026-04-24,0,"kokoro:force-run,size:M"
keras-team/keras,Deep Learning,22774,2026-04-24,2026-04-25,1,
