repo_name,category,stars,forks,open_issues,contributors,total_commits,primary_language,size_kb,age_days,created_at,last_updated,description,has_wiki,has_issues,license
keras-team/keras,Deep Learning,64060,19765,210,408,12367,Python,52657,4057,2015-03-28,2026-05-06,Deep Learning for humans,True,True,Apache License 2.0
fastai/fastai,Deep Learning,27996,7662,267,241,2918,Jupyter Notebook,880313,3161,2017-09-09,2026-05-06,The fastai deep learning library,True,True,Apache License 2.0
pytorch/examples,Deep Learning,23877,9818,249,258,835,Python,42754,3542,2016-08-24,2026-05-06,"A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.",True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
Lightning-AI/pytorch-lightning,Deep Learning,31114,3720,998,436,11075,Python,133730,2593,2019-03-31,2026-05-06,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",False,True,Apache License 2.0
huggingface/transformers,NLP,160309,33126,2347,438,22791,Python,481620,2746,2018-10-29,2026-05-06,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",True,True,Apache License 2.0
explosion/spaCy,NLP,33544,4679,204,388,16311,Python,203709,4325,2014-07-03,2026-05-06,💫 Industrial-strength Natural Language Processing (NLP) in Python,False,True,MIT License
facebookresearch/fairseq,NLP,32214,6681,1354,285,2330,Python,26071,3172,2017-08-29,2026-05-06,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,False,True,MIT License
allenai/allennlp,NLP,11893,2223,91,245,2719,Python,74709,3278,2017-05-15,2026-05-06,"An open-source NLP research library, built on PyTorch.",False,True,Apache License 2.0
facebookresearch/detectron2,Computer Vision,34450,7930,585,212,1559,Python,6866,2434,2019-09-05,2026-05-06,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",False,True,Apache License 2.0
ultralytics/yolov5,Computer Vision,57335,17482,43,335,2968,Python,17468,2179,2020-05-18,2026-05-06,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,True,True,GNU Affero General Public License v3.0
open-mmlab/mmdetection,Computer Vision,32658,9839,1960,414,2706,Python,64771,2814,2018-08-22,2026-05-06,OpenMMLab Detection Toolbox and Benchmark,True,True,Apache License 2.0
huggingface/pytorch-image-models,Computer Vision,36758,5151,65,166,3106,Python,30790,2650,2019-02-02,2026-05-06,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more",True,True,Apache License 2.0
mlflow/mlflow,MLOps,25771,5687,2060,450,12020,Python,1448438,2892,2018-06-05,2026-05-06,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",True,True,Apache License 2.0
treeverse/dvc,MLOps,15579,1293,171,293,9558,Python,20972,3350,2017-03-04,2026-05-06,🦉 Data Versioning and ML Experiments,True,True,Apache License 2.0
PrefectHQ/prefect,MLOps,22317,2295,843,412,21370,Python,216484,2867,2018-06-29,2026-05-06,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,False,True,Apache License 2.0
bentoml/BentoML,MLOps,8628,958,141,231,3753,Python,103430,2591,2019-04-02,2026-05-06,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!",False,True,Apache License 2.0
optuna/optuna,AutoML/RL,14101,1324,40,314,20826,Python,22835,2996,2018-02-21,2026-05-06,A hyperparameter optimization framework,True,True,MIT License
openai/gym,AutoML/RL,37181,8704,128,365,1758,Python,7125,3661,2016-04-27,2026-05-06,A toolkit for developing and comparing reinforcement learning algorithms.,True,True,Other
microsoft/nni,AutoML/RL,14352,1857,415,173,3012,Python,133124,2896,2018-06-01,2026-05-06,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",True,True,MIT License
automl/auto-sklearn,AutoML/RL,8092,1324,209,73,2759,Python,126435,3961,2015-07-02,2026-05-06,Automated Machine Learning with scikit-learn,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
