repo_name,category,stars,forks,open_issues,size_kb,primary_language,age_days,created_at,last_updated,description,has_wiki,has_issues,is_fork,license,status
Dao-AILab/flash-attention,Deep Learning,23906.0,2756.0,1189.0,20896.0,Python,1467.0,2022-05-19,2026-05-25,Fast and memory-efficient exact attention,True,True,False,BSD-3-Clause,ok
PaddlePaddle/PaddleDetection,Computer Vision,14218.0,3020.0,940.0,432844.0,Python,2404.0,2019-10-25,2026-05-25,"Object Detection toolkit based on PaddlePaddle. It supports object detection, instance segmentation, multiple object tracking and real-time multi-person keypoint detection.",True,True,False,Apache-2.0,ok
facebookresearch/flores,NLP,768.0,135.0,22.0,11185.0,Python,2670.0,2019-02-01,2026-05-08,Facebook Low Resource (FLoRes) MT Benchmark,False,True,False,NOASSERTION,ok
PaddlePaddle/PaddleSeg,Computer Vision,9332.0,1708.0,27.0,359111.0,Python,2464.0,2019-08-26,2026-05-25,"Easy-to-use image segmentation library with awesome pre-trained model zoo, supporting wide-range of practical tasks in Semantic Segmentation, Interactive Segmentation, Panoptic Segmentation, Image Mat",True,True,False,Apache-2.0,ok
huggingface/setfit,Deep Learning,2740.0,262.0,160.0,1920263.0,Jupyter Notebook,1425.0,2022-06-30,2026-05-24,Efficient few-shot learning with Sentence Transformers,False,True,False,Apache-2.0,ok
google-research/t5x,NLP,2965.0,341.0,182.0,9757.0,Python,1666.0,2021-11-01,2026-05-23,,False,True,False,Apache-2.0,ok
mosaicml/composer,Deep Learning,5483.0,463.0,62.0,22978.0,Python,1686.0,2021-10-12,2026-05-23,Supercharge Your Model Training,False,True,False,Apache-2.0,ok
PaddlePaddle/PaddleOCR,Computer Vision,78512.0,10483.0,210.0,1905638.0,Python,2208.0,2020-05-08,2026-05-25,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages.",False,True,False,Apache-2.0,ok
openai/glide-text2im,Deep Learning,3690.0,501.0,28.0,2042.0,Python,1627.0,2021-12-10,2026-05-21,GLIDE: a diffusion-based text-conditional image synthesis model,True,True,False,MIT,ok
triton-lang/triton,Deep Learning,19275.0,2875.0,1081.0,697413.0,MLIR,4286.0,2014-08-30,2026-05-25,Development repository for the Triton language and compiler,True,True,False,MIT,ok
WongKinYiu/yolov7,Computer Vision,14094.0,4369.0,1573.0,76024.0,Jupyter Notebook,1419.0,2022-07-06,2026-05-25,Implementation of paper - YOLOv7: Trainable bag-of-freebies sets new state-of-the-art for real-time object detectors,True,True,False,GPL-3.0,ok
huggingface/transformers,NLP,160952.0,33316.0,2386.0,498495.0,Python,2765.0,2018-10-29,2026-05-25,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. ",True,True,False,Apache-2.0,ok
google-deepmind/graphcast,Deep Learning,6666.0,865.0,75.0,1660.0,Python,1046.0,2023-07-14,2026-05-25,,True,True,False,Apache-2.0,ok
allenai/open-instruct,NLP,3729.0,544.0,33.0,184844.0,Python,1081.0,2023-06-09,2026-05-22,AllenAI's post-training codebase,True,True,False,Apache-2.0,ok
huggingface/optimum,Deep Learning,3400.0,644.0,276.0,5796.0,Python,1770.0,2021-07-20,2026-05-25,"🚀 Accelerate inference and training of 🤗 Transformers, Diffusers, TIMM and Sentence Transformers with easy to use hardware optimization tools",True,True,False,Apache-2.0,ok
