repo_name,category,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc
Dao-AILab/flash-attention,Deep Learning,6.39,49.83,1764.0,2215.0,312.0,104742.0
PaddlePaddle/PaddleDetection,Computer Vision,3.86,58.12,4412.0,5641.0,309.0,146585.0
facebookresearch/flores,NLP,3.65,62.76,249.0,102.0,7.0,2512.0
PaddlePaddle/PaddleSeg,Computer Vision,3.4,68.98,4253.0,6467.0,262.0,153499.0
huggingface/setfit,Deep Learning,3.28,66.09,621.0,674.0,26.0,15917.0
google-research/t5x,NLP,2.47,74.36,7216.0,1479.0,31.0,45459.0
mosaicml/composer,Deep Learning,3.6,68.57,993.0,3367.0,176.0,84993.0
PaddlePaddle/PaddleOCR,Computer Vision,3.51,67.03,2157.0,4936.0,217.0,110299.0
openai/glide-text2im,Deep Learning,3.08,63.59,16.0,200.0,7.0,3387.0
triton-lang/triton,Deep Learning,3.1,55.1,1805.0,6531.0,270.0,142781.0
WongKinYiu/yolov7,Computer Vision,4.23,53.63,1129.0,579.0,33.0,11875.0
huggingface/transformers,NLP,2.95,,,68937.0,2568.0,
google-deepmind/graphcast,Deep Learning,2.18,67.52,2250.0,406.0,6.0,11274.0
allenai/open-instruct,NLP,3.5,58.11,701.0,2658.0,149.0,71590.0
huggingface/optimum,Deep Learning,3.39,71.82,271.0,784.0,37.0,16334.0
OpenRLHF/OpenRLHF,NLP,4.48,64.2,85.0,450.0,43.0,13077.0
meituan/YOLOv6,Computer Vision,3.61,72.87,2003.0,626.0,28.0,19104.0
huggingface/tokenizers,Deep Learning,3.71,67.15,237.0,506.0,16.0,8008.0
CarperAI/trlx,NLP,3.6,62.47,169.0,710.0,38.0,17332.0
huggingface/hub-docs,Deep Learning,4.33,79.81,4.0,6.0,0.0,369.0
facebookresearch/audiocraft,Deep Learning,3.33,72.91,74.0,1514.0,57.0,28313.0
facebookresearch/esm,Deep Learning,2.71,74.04,724.0,580.0,17.0,11111.0
suno-ai/bark,Deep Learning,4.12,75.82,81.0,59.0,5.0,1391.0
opencv/opencv-python,Computer Vision,6.57,83.45,29.0,14.0,2.0,704.0
kornia/kornia,Computer Vision,2.35,69.21,480.0,8589.0,121.0,168703.0
coqui-ai/TTS,Deep Learning,3.17,70.89,971.0,3321.0,115.0,77995.0
facebookresearch/jepa,Deep Learning,3.51,65.7,14.0,318.0,13.0,7536.0
scikit-image/scikit-image,Computer Vision,2.61,66.93,484.0,3754.0,83.0,122953.0
haotian-liu/LLaVA,Deep Learning,4.31,58.86,298.0,312.0,27.0,8183.0
google-deepmind/alphageometry,Deep Learning,4.12,55.15,3732.0,714.0,56.0,12903.0
Zulko/moviepy,Computer Vision,3.99,79.82,471.0,621.0,41.0,19565.0
IST-DASLab/gptq,NLP,2.22,55.0,289.0,506.0,15.0,6536.0
