repo_name,category,pylint_score,avg_complexity,maintainability_index,flake8_violations,total_functions,complex_functions,loc
keras-team/keras,Deep Learning,,2.38,66.52,4113.0,14506.0,379.0,314699
fastai/fastai,Deep Learning,,,,16114.0,,,18223
pytorch/examples,Deep Learning,,2.35,68.55,780.0,556.0,6.0,11378
Lightning-AI/pytorch-lightning,Deep Learning,,2.91,69.53,79.0,7399.0,216.0,137163
tensorflow/tensorflow,Deep Learning,,,,,,,584398
pytorch/pytorch,Deep Learning,,,,,,,1050732
google/flax,Deep Learning,,2.4,66.28,25365.0,5172.0,115.0,123238
lucidrains/vit-pytorch,Deep Learning,,2.32,48.1,7288.0,1319.0,14.0,16791
huggingface/accelerate,Deep Learning,,4.54,62.64,1891.0,2164.0,178.0,63074
microsoft/DeepSpeed,Deep Learning,,3.33,71.42,6371.0,9213.0,413.0,163010
facebookresearch/xformers,Deep Learning,,3.39,65.93,39.0,986.0,50.0,26029
Lightning-AI/litgpt,Deep Learning,,3.89,61.93,120.0,1118.0,76.0,33514
karpathy/nanoGPT,Deep Learning,,3.57,84.12,196.0,30.0,2.0,1220
openai/whisper,Deep Learning,,4.85,56.46,69.0,188.0,14.0,4267
facebookresearch/llama,Deep Learning,,3.29,82.24,39.0,38.0,3.0,1179
CompVis/stable-diffusion,Deep Learning,,3.42,53.89,627.0,701.0,37.0,13283
invoke-ai/InvokeAI,Deep Learning,,,,1055.0,,,146922
microsoft/unilm,Deep Learning,,,,,,,402378
deepmind/sonnet,Deep Learning,,1.95,73.43,3958.0,1523.0,7.0,23134
AUTOMATIC1111/stable-diffusion-webui,Deep Learning,,3.73,53.06,2369.0,2433.0,134.0,43654
huggingface/datasets,NLP,,3.81,60.7,905.0,3762.0,237.0,76522
explosion/spaCy,NLP,,,,1062.0,,,136247
facebookresearch/fairseq,NLP,,3.29,65.18,2112.0,9164.0,407.0,194388
allenai/allennlp,NLP,,3.26,70.91,451.0,4261.0,164.0,89889
langchain-ai/langchain,NLP,,,,324.0,,,204562
deepset-ai/haystack,NLP,,3.75,63.21,474.0,6576.0,362.0,138190
nltk/nltk,NLP,,3.3,61.77,2189.0,7142.0,280.0,145061
RaRe-Technologies/gensim,NLP,,2.78,56.27,572.0,2541.0,75.0,67151
stanfordnlp/stanza,NLP,,4.51,67.63,9060.0,3726.0,340.0,89175
flairNLP/flair,NLP,,3.57,59.05,346.0,2928.0,149.0,53623
facebookresearch/ParlAI,NLP,,,,967.0,,,195547
google-research/bert,NLP,,4.12,51.35,1611.0,181.0,13.0,5995
huggingface/peft,NLP,,4.16,65.29,551.0,4348.0,274.0,126230
microsoft/promptflow,NLP,,2.47,76.16,2356.0,14968.0,266.0,8992
guidance-ai/guidance,NLP,,2.67,70.47,212.0,1448.0,33.0,24439
run-llama/llama_index,NLP,,3.2,79.65,2377.0,19787.0,657.0,84479
openai/tiktoken,NLP,,3.98,68.41,19.0,92.0,7.0,1865
BerriAI/litellm,NLP,,,,,,,57527
openai/openai-python,NLP,,1.94,91.46,2454.0,8228.0,62.0,166706
huggingface/trl,NLP,,5.38,72.06,862.0,2357.0,226.0,93190
facebookresearch/detectron2,Computer Vision,,3.22,75.1,817.0,3215.0,119.0,74225
ultralytics/yolov5,Computer Vision,,4.81,55.58,178.0,701.0,55.0,17927
open-mmlab/mmdetection,Computer Vision,,3.93,83.47,449.0,5647.0,321.0,17692
rwightman/pytorch-image-models,Computer Vision,,3.11,53.87,2203.0,6370.0,242.0,132364
ultralytics/ultralytics,Computer Vision,,4.08,62.8,134.0,2919.0,190.0,77881
facebookresearch/segment-anything,Computer Vision,,2.5,71.83,15.0,127.0,1.0,3070
openai/CLIP,Computer Vision,,2.89,70.06,32.0,53.0,3.0,900
facebookresearch/dinov2,Computer Vision,,2.82,75.28,199.0,1094.0,29.0,20797
pytorch/vision,Computer Vision,,2.87,61.54,1125.0,5720.0,145.0,112948
albumentations-team/albumentations,Computer Vision,,2.78,57.79,623.0,2211.0,42.0,68562
facebookresearch/detr,Computer Vision,,3.17,63.38,34.0,268.0,11.0,4364
huggingface/diffusers,Computer Vision,,,,,,,4804
open-mmlab/mmsegmentation,Computer Vision,,3.8,91.34,5.0,2153.0,109.0,83036
open-mmlab/mmpose,Computer Vision,,,,19.0,,,214429
roboflow/supervision,Computer Vision,,,,78.0,,,57196
CompVis/latent-diffusion,Computer Vision,,3.36,53.73,515.0,652.0,32.0,11453
IDEA-Research/GroundingDINO,Computer Vision,,3.07,67.2,180.0,433.0,18.0,8549
google-research/vision_transformer,Computer Vision,,2.39,79.99,999.0,139.0,4.0,3473
aleju/imgaug,Computer Vision,,3.55,39.6,882.0,8827.0,301.0,157347
keras-team/keras-cv,Computer Vision,,1.87,80.09,796.0,3797.0,38.0,97506
mlflow/mlflow,MLOps,,3.35,66.38,,27977.0,1197.0,29993
iterative/dvc,MLOps,,3.38,63.27,16.0,4727.0,168.0,88711
PrefectHQ/prefect,MLOps,,2.97,65.88,,28036.0,664.0,643971
bentoml/BentoML,MLOps,,3.04,68.2,1006.0,3415.0,128.0,77367
wandb/wandb,MLOps,,,,7912.0,,,305000
allegroai/clearml,MLOps,,2.41,61.97,993.0,16318.0,323.0,254738
zenml-io/zenml,MLOps,,2.88,85.63,875.0,12156.0,451.0,11515
feast-dev/feast,MLOps,,3.29,73.24,2639.0,7250.0,311.0,179258
netflix/metaflow,MLOps,,3.12,68.27,2381.0,8392.0,376.0,151868
apache/airflow,MLOps,,,,,,,192458
ray-project/ray,MLOps,,,,,,,178794
kubeflow/pipelines,MLOps,,,,11628.0,,,4030
tensorflow/serving,MLOps,,1.75,80.58,711.0,146.0,1.0,3877
evidentlyai/evidently,MLOps,,,,841.0,,,115523
whylabs/whylogs,MLOps,,3.2,69.07,189.0,2552.0,86.0,39247
kedro-org/kedro,MLOps,,,,90.0,,,43420
